text,date,article_link
Turkish Airlines operates most flights in single day in Europe,"Jun 22, 2020",https://www.dailysabah.com/business/transportation/turkish-airlines-operates-most-flights-in-single-day-in-europe
Turkey hopes to restart tourism with 'virus-free' certificates as foreign arrivals begin,"Jun 21, 2020",https://www.dailysabah.com/business/tourism/turkey-hopes-to-restart-tourism-with-virus-free-certificates-as-foreign-arrivals-begin
"Pandemic radically affected diplomatic ties, FM Çavuşoğlu says","Aug 21, 2020",https://www.dailysabah.com/politics/diplomacy/pandemic-radically-affected-diplomatic-ties-fm-cavusoglu-says
"Turkish Airlines resumes flights to more locations, including Iran","Aug 17, 2020",https://www.dailysabah.com/business/transportation/turkish-airlines-resumes-flights-to-more-locations-including-iran
"Over 23,000 Russians arrive in Antalya on 1st day of flight resumption","Aug 11, 2020",https://www.dailysabah.com/business/tourism/over-23000-russians-arrive-in-antalya-on-1st-day-of-flight-resumption
Long wait ends as 1st Russian tourist groups arrive at Turkish coastal resorts,"Aug 10, 2020",https://www.dailysabah.com/business/tourism/long-wait-ends-as-1st-russian-tourist-groups-arrive-at-turkish-coastal-resorts
1st flight from Russia since virus outbreak lands in Istanbul,"Aug 01, 2020",https://www.dailysabah.com/business/tourism/1st-flight-from-russia-since-virus-outbreak-lands-in-istanbul
Istanbul-born digital marketing startup Insider secures $32M fund from Silicon Valley,"Jul 24, 2020",https://www.dailysabah.com/business/tech/istanbul-born-digital-marketing-startup-insider-secures-32m-fund-from-silicon-valley
Number of Russian tourists arriving in Turkey could hit 4 million,"Jul 22, 2020",https://www.dailysabah.com/business/tourism/number-of-russian-tourists-arriving-in-turkey-could-hit-4-million
"Turkey determined to strengthen cooperation with Africa, FM Çavuşoğlu says","Jul 20, 2020",https://www.dailysabah.com/politics/diplomacy/turkey-determined-to-strengthen-cooperation-with-africa-fm-cavusoglu-says
"Turkey manages to reduce daily COVID-19 cases below 1,000 again","Jul 15, 2020",https://www.dailysabah.com/turkey/turkey-manages-to-reduce-daily-covid-19-cases-below-1000-again/news
Dozens of charter flights with British tourists to arrive in Turkey as of July 15,"Jul 10, 2020",https://www.dailysabah.com/business/tourism/dozens-of-charter-flights-with-british-tourists-to-arrive-in-turkey-as-of-july-15
Turkish Cargo transports 1 out of every 20 airfreight shipments worldwide,"Jul 08, 2020",https://www.dailysabah.com/business/transportation/turkish-cargo-transports-1-out-of-every-20-airfreight-shipments-worldwide
"SunExpress resumes flights from London to Antalya, Gaziantep","Jul 07, 2020",https://www.dailysabah.com/business/transportation/sunexpress-resumes-flights-from-london-to-antalya-gaziantep
Turkish Airlines resumes Indonesia flights,"Jul 05, 2020",https://www.dailysabah.com/business/transportation/turkish-airlines-resumes-indonesia-flights
Oil company TÜPRAŞ again tops Turkey's Fortune 500 list,"Jul 02, 2020",https://www.dailysabah.com/business/oil-company-tupras-again-tops-turkeys-fortune-500-list/news
"'No doubt’ Turkish tourism set to bounce back from virus crisis, SunExpress CEO says","Jun 30, 2020",https://www.dailysabah.com/business/tourism/no-doubt-turkish-tourism-set-to-bounce-back-from-virus-crisis-sunexpress-ceo-says
Companies traded on Borsa Istanbul post TL 15.4 billion net profit in Q1,"Jun 28, 2020",https://www.dailysabah.com/business/finance/companies-traded-on-borsa-istanbul-post-tl-154-billion-net-profit-in-q1
"Social distancing: Pictures showing stark difference between Turkey, UK beaches hit social media","Jun 25, 2020",https://www.dailysabah.com/business/tourism/social-distancing-pictures-showing-stark-difference-between-turkey-uk-beaches-hit-social-media
Basketball: Fenerbahçe parts ways with Obradovic,"Jun 24, 2020",https://www.dailysabah.com/sports/basketball/basketball-fenerbahce-parts-ways-with-obradovic
Turkish Airlines operates most flights in single day in Europe,"Jun 22, 2020",https://www.dailysabah.com/business/transportation/turkish-airlines-operates-most-flights-in-single-day-in-europe
Turkey hopes to restart tourism with 'virus-free' certificates as foreign arrivals begin,"Jun 21, 2020",https://www.dailysabah.com/business/tourism/turkey-hopes-to-restart-tourism-with-virus-free-certificates-as-foreign-arrivals-begin
Turkey Wealth Fund in talks with Sweden’s Telia to buy $530M stake in Turkcell,"Jun 16, 2020",https://www.dailysabah.com/business/economy/turkey-wealth-fund-in-talks-with-swedens-telia-to-buy-530m-stake-in-turkcell
Businesses concerned over 2nd wave of COVID-19 in Turkey,"Jun 16, 2020",https://www.dailysabah.com/business/economy/businesses-concerned-over-2nd-wave-of-covid-19-in-turkey
Istanbul Airport’s 3rd runway to open Sunday,"Jun 12, 2020",https://www.dailysabah.com/business/transportation/istanbul-airports-3rd-runway-to-open-sunday
International flights from Turkey resume after 2-month hiatus,"Jun 11, 2020",https://www.dailysabah.com/business/transportation/international-flights-from-turkey-resume-after-2-month-hiatus
Pakistan asks for Turkish Airlines' assistance in plane crash probe,"Jun 10, 2020",https://www.dailysabah.com/business/pakistan-asks-for-turkish-airlines-assistance-in-plane-crash-probe/news
Istanbul-born digital marketing startup Insider secures $32M fund from Silicon Valley,"Jul 24, 2020",https://www.dailysabah.com/business/tech/istanbul-born-digital-marketing-startup-insider-secures-32m-fund-from-silicon-valley
Number of Russian tourists arriving in Turkey could hit 4 million,"Jul 22, 2020",https://www.dailysabah.com/business/tourism/number-of-russian-tourists-arriving-in-turkey-could-hit-4-million
"Turkey determined to strengthen cooperation with Africa, FM Çavuşoğlu says","Jul 20, 2020",https://www.dailysabah.com/politics/diplomacy/turkey-determined-to-strengthen-cooperation-with-africa-fm-cavusoglu-says
"Turkey manages to reduce daily COVID-19 cases below 1,000 again","Jul 15, 2020",https://www.dailysabah.com/turkey/turkey-manages-to-reduce-daily-covid-19-cases-below-1000-again/news
Dozens of charter flights with British tourists to arrive in Turkey as of July 15,"Jul 10, 2020",https://www.dailysabah.com/business/tourism/dozens-of-charter-flights-with-british-tourists-to-arrive-in-turkey-as-of-july-15
Turkish Cargo transports 1 out of every 20 airfreight shipments worldwide,"Jul 08, 2020",https://www.dailysabah.com/business/transportation/turkish-cargo-transports-1-out-of-every-20-airfreight-shipments-worldwide
"SunExpress resumes flights from London to Antalya, Gaziantep","Jul 07, 2020",https://www.dailysabah.com/business/transportation/sunexpress-resumes-flights-from-london-to-antalya-gaziantep
Turkish Airlines resumes Indonesia flights,"Jul 05, 2020",https://www.dailysabah.com/business/transportation/turkish-airlines-resumes-indonesia-flights
Oil company TÜPRAŞ again tops Turkey's Fortune 500 list,"Jul 02, 2020",https://www.dailysabah.com/business/oil-company-tupras-again-tops-turkeys-fortune-500-list/news
"'No doubt’ Turkish tourism set to bounce back from virus crisis, SunExpress CEO says","Jun 30, 2020",https://www.dailysabah.com/business/tourism/no-doubt-turkish-tourism-set-to-bounce-back-from-virus-crisis-sunexpress-ceo-says
Companies traded on Borsa Istanbul post TL 15.4 billion net profit in Q1,"Jun 28, 2020",https://www.dailysabah.com/business/finance/companies-traded-on-borsa-istanbul-post-tl-154-billion-net-profit-in-q1
"Social distancing: Pictures showing stark difference between Turkey, UK beaches hit social media","Jun 25, 2020",https://www.dailysabah.com/business/tourism/social-distancing-pictures-showing-stark-difference-between-turkey-uk-beaches-hit-social-media
Basketball: Fenerbahçe parts ways with Obradovic,"Jun 24, 2020",https://www.dailysabah.com/sports/basketball/basketball-fenerbahce-parts-ways-with-obradovic
Turkish Airlines operates most flights in single day in Europe,"Jun 22, 2020",https://www.dailysabah.com/business/transportation/turkish-airlines-operates-most-flights-in-single-day-in-europe
Turkey hopes to restart tourism with 'virus-free' certificates as foreign arrivals begin,"Jun 21, 2020",https://www.dailysabah.com/business/tourism/turkey-hopes-to-restart-tourism-with-virus-free-certificates-as-foreign-arrivals-begin
Turkey Wealth Fund in talks with Sweden’s Telia to buy $530M stake in Turkcell,"Jun 16, 2020",https://www.dailysabah.com/business/economy/turkey-wealth-fund-in-talks-with-swedens-telia-to-buy-530m-stake-in-turkcell
Businesses concerned over 2nd wave of COVID-19 in Turkey,"Jun 16, 2020",https://www.dailysabah.com/business/economy/businesses-concerned-over-2nd-wave-of-covid-19-in-turkey
Istanbul Airport’s 3rd runway to open Sunday,"Jun 12, 2020",https://www.dailysabah.com/business/transportation/istanbul-airports-3rd-runway-to-open-sunday
International flights from Turkey resume after 2-month hiatus,"Jun 11, 2020",https://www.dailysabah.com/business/transportation/international-flights-from-turkey-resume-after-2-month-hiatus
Pakistan asks for Turkish Airlines' assistance in plane crash probe,"Jun 10, 2020",https://www.dailysabah.com/business/pakistan-asks-for-turkish-airlines-assistance-in-plane-crash-probe/news
THY offers cheap flights for health care staff,"Jun 08, 2020",https://www.dailysabah.com/turkey/thy-offers-cheap-flights-for-health-care-staff/news
Istanbul should press ahead with Olympics bid: Turkish exec,"Jun 08, 2020",https://www.dailysabah.com/sports/istanbul-should-press-ahead-with-olympics-bid-turkish-exec/news
"Europe uses COVID-19 as excuse to protect own market, CEO of Istanbul Airport operator says","Jun 07, 2020",https://www.dailysabah.com/business/transportation/europe-uses-covid-19-as-excuse-to-protect-own-market-ceo-of-istanbul-airport-operator-says
"Turkey records 988 new cases of COVID-19, minister says","Jun 04, 2020",https://www.dailysabah.com/turkey/turkey-records-988-new-cases-of-covid-19-minister-says/news
Turkish Airlines turns to onboard hygiene experts in resuming flights,"Jun 03, 2020",https://www.dailysabah.com/turkey/turkish-airlines-turns-to-onboard-hygiene-experts-in-resuming-flights/news
Turkish Cargo transports 1 out of every 20 airfreight shipments worldwide,"Jul 08, 2020",https://www.dailysabah.com/business/transportation/turkish-cargo-transports-1-out-of-every-20-airfreight-shipments-worldwide
"SunExpress resumes flights from London to Antalya, Gaziantep","Jul 07, 2020",https://www.dailysabah.com/business/transportation/sunexpress-resumes-flights-from-london-to-antalya-gaziantep
Turkish Airlines resumes Indonesia flights,"Jul 05, 2020",https://www.dailysabah.com/business/transportation/turkish-airlines-resumes-indonesia-flights
Oil company TÜPRAŞ again tops Turkey's Fortune 500 list,"Jul 02, 2020",https://www.dailysabah.com/business/oil-company-tupras-again-tops-turkeys-fortune-500-list/news
"'No doubt’ Turkish tourism set to bounce back from virus crisis, SunExpress CEO says","Jun 30, 2020",https://www.dailysabah.com/business/tourism/no-doubt-turkish-tourism-set-to-bounce-back-from-virus-crisis-sunexpress-ceo-says
Companies traded on Borsa Istanbul post TL 15.4 billion net profit in Q1,"Jun 28, 2020",https://www.dailysabah.com/business/finance/companies-traded-on-borsa-istanbul-post-tl-154-billion-net-profit-in-q1
"Social distancing: Pictures showing stark difference between Turkey, UK beaches hit social media","Jun 25, 2020",https://www.dailysabah.com/business/tourism/social-distancing-pictures-showing-stark-difference-between-turkey-uk-beaches-hit-social-media
Basketball: Fenerbahçe parts ways with Obradovic,"Jun 24, 2020",https://www.dailysabah.com/sports/basketball/basketball-fenerbahce-parts-ways-with-obradovic
Turkish Airlines operates most flights in single day in Europe,"Jun 22, 2020",https://www.dailysabah.com/business/transportation/turkish-airlines-operates-most-flights-in-single-day-in-europe
Turkey hopes to restart tourism with 'virus-free' certificates as foreign arrivals begin,"Jun 21, 2020",https://www.dailysabah.com/business/tourism/turkey-hopes-to-restart-tourism-with-virus-free-certificates-as-foreign-arrivals-begin
Turkey Wealth Fund in talks with Sweden’s Telia to buy $530M stake in Turkcell,"Jun 16, 2020",https://www.dailysabah.com/business/economy/turkey-wealth-fund-in-talks-with-swedens-telia-to-buy-530m-stake-in-turkcell
Businesses concerned over 2nd wave of COVID-19 in Turkey,"Jun 16, 2020",https://www.dailysabah.com/business/economy/businesses-concerned-over-2nd-wave-of-covid-19-in-turkey
Istanbul Airport’s 3rd runway to open Sunday,"Jun 12, 2020",https://www.dailysabah.com/business/transportation/istanbul-airports-3rd-runway-to-open-sunday
International flights from Turkey resume after 2-month hiatus,"Jun 11, 2020",https://www.dailysabah.com/business/transportation/international-flights-from-turkey-resume-after-2-month-hiatus
Pakistan asks for Turkish Airlines' assistance in plane crash probe,"Jun 10, 2020",https://www.dailysabah.com/business/pakistan-asks-for-turkish-airlines-assistance-in-plane-crash-probe/news
THY offers cheap flights for health care staff,"Jun 08, 2020",https://www.dailysabah.com/turkey/thy-offers-cheap-flights-for-health-care-staff/news
Istanbul should press ahead with Olympics bid: Turkish exec,"Jun 08, 2020",https://www.dailysabah.com/sports/istanbul-should-press-ahead-with-olympics-bid-turkish-exec/news
"Europe uses COVID-19 as excuse to protect own market, CEO of Istanbul Airport operator says","Jun 07, 2020",https://www.dailysabah.com/business/transportation/europe-uses-covid-19-as-excuse-to-protect-own-market-ceo-of-istanbul-airport-operator-says
"Turkey records 988 new cases of COVID-19, minister says","Jun 04, 2020",https://www.dailysabah.com/turkey/turkey-records-988-new-cases-of-covid-19-minister-says/news
Turkish Airlines turns to onboard hygiene experts in resuming flights,"Jun 03, 2020",https://www.dailysabah.com/turkey/turkish-airlines-turns-to-onboard-hygiene-experts-in-resuming-flights/news
Turkish Airlines to resume flights from Anatolia to 6 European countries June 18,"Jun 02, 2020",https://www.dailysabah.com/business/transportation/turkish-airlines-to-resume-flights-from-anatolia-to-6-european-countries-june-18
‘New normal’ begins in Turkey as most pandemic-related restrictions lifted,"Jun 01, 2020",https://www.dailysabah.com/turkey/new-normal-begins-in-turkey-as-most-pandemic-related-restrictions-lifted/news
"Germany thanks Turkey for airlifting citizens from Peru, Colombia","May 30, 2020",https://www.dailysabah.com/politics/diplomacy/germany-thanks-turkey-for-airlifting-citizens-from-peru-colombia
Israeli businesses shifted Chinese orders to Turkey during pandemic,"May 29, 2020",https://www.dailysabah.com/business/economy/israeli-businesses-shifted-chinese-orders-to-turkey-during-pandemic
Is the recycled air inside a plane safe? Airliners seek to assure travelers,"May 29, 2020",https://www.dailysabah.com/life/health/is-the-recycled-air-inside-a-plane-safe-airliners-seek-to-assure-travelers
Companies traded on Borsa Istanbul post TL 15.4 billion net profit in Q1,"Jun 28, 2020",https://www.dailysabah.com/business/finance/companies-traded-on-borsa-istanbul-post-tl-154-billion-net-profit-in-q1
"Social distancing: Pictures showing stark difference between Turkey, UK beaches hit social media","Jun 25, 2020",https://www.dailysabah.com/business/tourism/social-distancing-pictures-showing-stark-difference-between-turkey-uk-beaches-hit-social-media
Basketball: Fenerbahçe parts ways with Obradovic,"Jun 24, 2020",https://www.dailysabah.com/sports/basketball/basketball-fenerbahce-parts-ways-with-obradovic
Turkish Airlines operates most flights in single day in Europe,"Jun 22, 2020",https://www.dailysabah.com/business/transportation/turkish-airlines-operates-most-flights-in-single-day-in-europe
Turkey hopes to restart tourism with 'virus-free' certificates as foreign arrivals begin,"Jun 21, 2020",https://www.dailysabah.com/business/tourism/turkey-hopes-to-restart-tourism-with-virus-free-certificates-as-foreign-arrivals-begin
Turkey Wealth Fund in talks with Sweden’s Telia to buy $530M stake in Turkcell,"Jun 16, 2020",https://www.dailysabah.com/business/economy/turkey-wealth-fund-in-talks-with-swedens-telia-to-buy-530m-stake-in-turkcell
Businesses concerned over 2nd wave of COVID-19 in Turkey,"Jun 16, 2020",https://www.dailysabah.com/business/economy/businesses-concerned-over-2nd-wave-of-covid-19-in-turkey
Istanbul Airport’s 3rd runway to open Sunday,"Jun 12, 2020",https://www.dailysabah.com/business/transportation/istanbul-airports-3rd-runway-to-open-sunday
International flights from Turkey resume after 2-month hiatus,"Jun 11, 2020",https://www.dailysabah.com/business/transportation/international-flights-from-turkey-resume-after-2-month-hiatus
Pakistan asks for Turkish Airlines' assistance in plane crash probe,"Jun 10, 2020",https://www.dailysabah.com/business/pakistan-asks-for-turkish-airlines-assistance-in-plane-crash-probe/news
THY offers cheap flights for health care staff,"Jun 08, 2020",https://www.dailysabah.com/turkey/thy-offers-cheap-flights-for-health-care-staff/news
Istanbul should press ahead with Olympics bid: Turkish exec,"Jun 08, 2020",https://www.dailysabah.com/sports/istanbul-should-press-ahead-with-olympics-bid-turkish-exec/news
"Europe uses COVID-19 as excuse to protect own market, CEO of Istanbul Airport operator says","Jun 07, 2020",https://www.dailysabah.com/business/transportation/europe-uses-covid-19-as-excuse-to-protect-own-market-ceo-of-istanbul-airport-operator-says
"Turkey records 988 new cases of COVID-19, minister says","Jun 04, 2020",https://www.dailysabah.com/turkey/turkey-records-988-new-cases-of-covid-19-minister-says/news
Turkish Airlines turns to onboard hygiene experts in resuming flights,"Jun 03, 2020",https://www.dailysabah.com/turkey/turkish-airlines-turns-to-onboard-hygiene-experts-in-resuming-flights/news
Turkish Airlines to resume flights from Anatolia to 6 European countries June 18,"Jun 02, 2020",https://www.dailysabah.com/business/transportation/turkish-airlines-to-resume-flights-from-anatolia-to-6-european-countries-june-18
‘New normal’ begins in Turkey as most pandemic-related restrictions lifted,"Jun 01, 2020",https://www.dailysabah.com/turkey/new-normal-begins-in-turkey-as-most-pandemic-related-restrictions-lifted/news
"Germany thanks Turkey for airlifting citizens from Peru, Colombia","May 30, 2020",https://www.dailysabah.com/politics/diplomacy/germany-thanks-turkey-for-airlifting-citizens-from-peru-colombia
Israeli businesses shifted Chinese orders to Turkey during pandemic,"May 29, 2020",https://www.dailysabah.com/business/economy/israeli-businesses-shifted-chinese-orders-to-turkey-during-pandemic
Is the recycled air inside a plane safe? Airliners seek to assure travelers,"May 29, 2020",https://www.dailysabah.com/life/health/is-the-recycled-air-inside-a-plane-safe-airliners-seek-to-assure-travelers
"Characteristics int'l actors lack make Turkey's Africa diplomacy unique, comprehensive partnership","May 27, 2020",https://www.dailysabah.com/politics/news-analysis/characteristics-intl-actors-lack-make-turkeys-africa-diplomacy-unique-comprehensive-partnership
Turkey's SunExpress to resume domestic flights starting June 4,"May 26, 2020",https://www.dailysabah.com/business/transportation/turkeys-sunexpress-to-resume-domestic-flights-starting-june-4
"EuroLeague, EuroCup basketball tournaments canceled over COVID-19 pandemic","May 25, 2020",https://www.dailysabah.com/sports/basketball/euroleague-eurocup-basketball-tournaments-canceled-over-covid-19-pandemic
"Turkey, Kazakhstan plan to resume flights in late June","May 23, 2020",https://www.dailysabah.com/business/transportation/turkey-kazakhstan-plan-to-resume-flights-in-late-june
Turkey offers condolences to Pakistan over plane crash,"May 22, 2020",https://www.dailysabah.com/politics/diplomacy/turkey-offers-condolences-to-pakistan-over-plane-crash
Turkey Wealth Fund in talks with Sweden’s Telia to buy $530M stake in Turkcell,"Jun 16, 2020",https://www.dailysabah.com/business/economy/turkey-wealth-fund-in-talks-with-swedens-telia-to-buy-530m-stake-in-turkcell
Businesses concerned over 2nd wave of COVID-19 in Turkey,"Jun 16, 2020",https://www.dailysabah.com/business/economy/businesses-concerned-over-2nd-wave-of-covid-19-in-turkey
Istanbul Airport’s 3rd runway to open Sunday,"Jun 12, 2020",https://www.dailysabah.com/business/transportation/istanbul-airports-3rd-runway-to-open-sunday
International flights from Turkey resume after 2-month hiatus,"Jun 11, 2020",https://www.dailysabah.com/business/transportation/international-flights-from-turkey-resume-after-2-month-hiatus
Pakistan asks for Turkish Airlines' assistance in plane crash probe,"Jun 10, 2020",https://www.dailysabah.com/business/pakistan-asks-for-turkish-airlines-assistance-in-plane-crash-probe/news
THY offers cheap flights for health care staff,"Jun 08, 2020",https://www.dailysabah.com/turkey/thy-offers-cheap-flights-for-health-care-staff/news
Istanbul should press ahead with Olympics bid: Turkish exec,"Jun 08, 2020",https://www.dailysabah.com/sports/istanbul-should-press-ahead-with-olympics-bid-turkish-exec/news
"Europe uses COVID-19 as excuse to protect own market, CEO of Istanbul Airport operator says","Jun 07, 2020",https://www.dailysabah.com/business/transportation/europe-uses-covid-19-as-excuse-to-protect-own-market-ceo-of-istanbul-airport-operator-says
"Turkey records 988 new cases of COVID-19, minister says","Jun 04, 2020",https://www.dailysabah.com/turkey/turkey-records-988-new-cases-of-covid-19-minister-says/news
Turkish Airlines turns to onboard hygiene experts in resuming flights,"Jun 03, 2020",https://www.dailysabah.com/turkey/turkish-airlines-turns-to-onboard-hygiene-experts-in-resuming-flights/news
Turkish Airlines to resume flights from Anatolia to 6 European countries June 18,"Jun 02, 2020",https://www.dailysabah.com/business/transportation/turkish-airlines-to-resume-flights-from-anatolia-to-6-european-countries-june-18
‘New normal’ begins in Turkey as most pandemic-related restrictions lifted,"Jun 01, 2020",https://www.dailysabah.com/turkey/new-normal-begins-in-turkey-as-most-pandemic-related-restrictions-lifted/news
"Germany thanks Turkey for airlifting citizens from Peru, Colombia","May 30, 2020",https://www.dailysabah.com/politics/diplomacy/germany-thanks-turkey-for-airlifting-citizens-from-peru-colombia
Israeli businesses shifted Chinese orders to Turkey during pandemic,"May 29, 2020",https://www.dailysabah.com/business/economy/israeli-businesses-shifted-chinese-orders-to-turkey-during-pandemic
Is the recycled air inside a plane safe? Airliners seek to assure travelers,"May 29, 2020",https://www.dailysabah.com/life/health/is-the-recycled-air-inside-a-plane-safe-airliners-seek-to-assure-travelers
"Characteristics int'l actors lack make Turkey's Africa diplomacy unique, comprehensive partnership","May 27, 2020",https://www.dailysabah.com/politics/news-analysis/characteristics-intl-actors-lack-make-turkeys-africa-diplomacy-unique-comprehensive-partnership
Turkey's SunExpress to resume domestic flights starting June 4,"May 26, 2020",https://www.dailysabah.com/business/transportation/turkeys-sunexpress-to-resume-domestic-flights-starting-june-4
"EuroLeague, EuroCup basketball tournaments canceled over COVID-19 pandemic","May 25, 2020",https://www.dailysabah.com/sports/basketball/euroleague-eurocup-basketball-tournaments-canceled-over-covid-19-pandemic
"Turkey, Kazakhstan plan to resume flights in late June","May 23, 2020",https://www.dailysabah.com/business/transportation/turkey-kazakhstan-plan-to-resume-flights-in-late-june
Turkey offers condolences to Pakistan over plane crash,"May 22, 2020",https://www.dailysabah.com/politics/diplomacy/turkey-offers-condolences-to-pakistan-over-plane-crash
Turkish Airlines extends flight suspension into June amid pandemic,"May 20, 2020",https://www.dailysabah.com/business/turkish-airlines-extends-flight-suspension-into-june-amid-pandemic/news
Turkey likely to post fastest post-COVID-19 recovery among tourism destinations,"May 18, 2020",https://www.dailysabah.com/business/tourism/turkey-likely-to-post-fastest-post-covid-19-recovery-among-tourism-destinations
Turkey's wealth fund to inject nearly $3 billion capital to state banks,"May 12, 2020",https://www.dailysabah.com/business/economy/turkeys-wealth-fund-to-inject-nearly-3-billion-capital-to-state-banks
Turkish low-cost carrier launches freighter flights,"May 08, 2020",https://www.dailysabah.com/business/transportation/turkish-low-cost-carrier-launches-freighter-flights
Turkish Airlines to no longer carry tameless animals to Turkey,"May 07, 2020",https://www.dailysabah.com/business/transportation/turkish-airlines-to-no-longer-carry-tameless-animals-to-turkey
THY offers cheap flights for health care staff,"Jun 08, 2020",https://www.dailysabah.com/turkey/thy-offers-cheap-flights-for-health-care-staff/news
Istanbul should press ahead with Olympics bid: Turkish exec,"Jun 08, 2020",https://www.dailysabah.com/sports/istanbul-should-press-ahead-with-olympics-bid-turkish-exec/news
"Europe uses COVID-19 as excuse to protect own market, CEO of Istanbul Airport operator says","Jun 07, 2020",https://www.dailysabah.com/business/transportation/europe-uses-covid-19-as-excuse-to-protect-own-market-ceo-of-istanbul-airport-operator-says
"Turkey records 988 new cases of COVID-19, minister says","Jun 04, 2020",https://www.dailysabah.com/turkey/turkey-records-988-new-cases-of-covid-19-minister-says/news
Turkish Airlines turns to onboard hygiene experts in resuming flights,"Jun 03, 2020",https://www.dailysabah.com/turkey/turkish-airlines-turns-to-onboard-hygiene-experts-in-resuming-flights/news
Turkish Airlines to resume flights from Anatolia to 6 European countries June 18,"Jun 02, 2020",https://www.dailysabah.com/business/transportation/turkish-airlines-to-resume-flights-from-anatolia-to-6-european-countries-june-18
‘New normal’ begins in Turkey as most pandemic-related restrictions lifted,"Jun 01, 2020",https://www.dailysabah.com/turkey/new-normal-begins-in-turkey-as-most-pandemic-related-restrictions-lifted/news
